,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
185,Longleaf pine / Turkey oak forest with prescribed fire,0.028677,0.007343,0.033832,0.008659,0.299908,0.075614,0.007827,0.075614,0.004981,0.001262,0.003386,0.000893,0.071804,0.018142,176008.6518,176008.6518,3.093212718,0.848824935
186,Turkey oak - Bluejack oak forest,0.076592,0.023347,0.090376,0.027546,0.809742,0.259342,0.020008,0.259342,0.013466,0.004286,0.008821,0.002347,0.193546,0.061547,446634.9467,446634.9467,7.827575663,1.765780757
187,Longleaf pine / Yaupon forest,0.196544,0.121319,0.231918,0.143158,2.222676,1.320742,0.03684,1.320742,0.036606,0.021864,0.018694,0.012939,0.526214,0.314356,786493.1188,786493.1188,,
188,Sand pine - Oak forest,0.111794,0.054956,0.131917,0.064852,1.259648,0.59045,0.021405,0.59045,0.020759,0.009795,0.010753,0.006078,0.29837,0.140801,460558.4347,460558.4347,4.898870427,1.820797469
189,Sand pine - Oak forest with insects and disease,0.245684,0.120601,0.289905,0.142314,2.840476,1.361054,0.039818,1.361054,0.046644,0.022425,0.021673,0.011549,0.67046,0.322321,829618.9869,829618.9869,,
191,Longleaf pine - Slash pine / Gallberry forest,0.082589,0.058485,0.097466,0.06901,0.855741,0.598506,0.023319,0.598506,0.014262,0.009999,0.009989,0.007281,0.205149,0.143744,528503.1276,528503.1276,9.30393465,6.958992433
196,Loblolly pine / Bluestem forest,0.035698,0.028109,0.042123,0.033162,0.400871,0.316746,0.006965,0.316746,0.006612,0.005222,0.003467,0.002701,0.095,0.075027,145915.7461,145915.7461,2.483725466,1.899908618
203,Sawgrass - Muhlenbergia grassland,0.026897,0.024141,0.03174,0.028485,0.274689,0.24597,0.008003,0.24597,0.00459,0.00411,0.003365,0.003038,0.065993,0.059116,182451.9883,182451.9883,3.228427676,2.926477676
208,Grand fir - Douglas-fir forest,0.785758,0.207476,0.927211,0.244822,9.480172,2.408947,0.087703,2.408947,0.154779,0.039527,0.058514,0.018016,2.225033,0.568271,1547565.156,1547565.156,22.14654702,10.51841577
210,Pinyon - Juniper forest,0.054921,0.025964,0.064808,0.030645,0.60501,0.283928,0.011906,0.283928,0.009999,0.004696,0.005662,0.002731,0.143752,0.067534,257021.4571,257021.4571,4.404835723,2.188713379
211,Interior ponderosa pine forest,0.093984,0.034952,0.110911,0.041245,1.021469,0.399516,0.02176,0.399516,0.016924,0.006563,0.01007,0.00321,0.243178,0.094448,476874.2246,476874.2246,8.226401695,2.084532971
216,Gambel oak - bigtooth maple forest,0.249995,0.060649,0.295003,0.071563,2.81463,0.652237,0.048108,0.652237,0.046378,0.010815,0.02412,0.006684,0.666772,0.155517,1035629.607,1035629.607,17.04010416,5.64959414
