,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
339,Alaskan herbaceous wet meadow grassland,0.020436,0.006812,0.024125,0.008043,0.242673,0.072269,0.002677,0.072269,0.003965,0.001201,0.001618,0.00078,0.05707,0.017266,53955.75963,53955.75963,,
401,Recently logged timberland - Shrubland cover,0.21095,0.152607,0.248923,0.180072,2.487942,1.761053,0.029278,1.761053,0.040736,0.028924,0.017271,0.013554,0.58568,0.415772,567952.3076,567952.3076,11.12984167,9.743517194
402,Recently logged timberland - Woodland cover,0.330388,0.266456,0.38985,0.314417,3.840168,3.050086,0.051497,3.050086,0.063012,0.05015,0.028574,0.024332,0.90576,0.720903,1039630.891,1039630.891,,
403,Ouachita montane oak forest,0.032669,0.018921,0.038563,0.022324,0.346617,0.196981,0.008405,0.196981,0.005761,0.00328,0.00372,0.002264,0.0828,0.047189,188502.6956,188502.6956,3.811754387,1.809800092
404,Southern and Central Appalachian cove forest,0.367212,0.140001,0.433313,0.165201,4.055226,1.590868,0.078589,1.590868,0.067008,0.026181,0.037594,0.013108,0.963252,0.376386,1701099.459,1701099.459,28.94568567,8.818506923
405,Central and Southern Appalachian montane oak forest,0.072853,0.045132,0.085971,0.053259,0.756176,0.463673,0.020431,0.463673,0.012602,0.007745,0.008765,0.005568,0.181236,0.111293,462866.5888,462866.5888,8.956608599,5.387287287
406,West Gulf Coastal Plain mesic hardwood forest,0.155911,0.036132,0.183979,0.04264,1.66745,0.390506,0.038828,0.390506,0.027679,0.006477,0.017445,0.003929,0.397896,0.093042,861451.1098,861451.1098,14.98768517,3.271697717
407,Southern Coastal Plain dry upland hardwood forest,0.139888,0.055751,0.165078,0.065778,1.480447,0.60678,0.036397,0.60678,0.024615,0.010049,0.016074,0.005943,0.353801,0.144423,814531.6204,814531.6204,14.2232632,4.833281322
408,Eastern Great Plains tallgrass aspen parkland,0.089156,0.051021,0.105201,0.060213,0.996683,0.573072,0.017867,0.573072,0.016436,0.00945,0.008796,0.004968,0.23634,0.135804,382051.0286,382051.0286,6.64278503,3.648378223
409,Appalachian shale barren woodland and grassland,0.032135,0.008865,0.037915,0.010458,0.364614,0.095482,0.005893,0.095482,0.005997,0.001584,0.00301,0.00097,0.086292,0.022758,126171.72,126171.72,2.187688391,0.865498871
410,Southern Appalachian montane pine forest and woodland,0.134484,0.083524,0.158686,0.098556,1.481998,0.873144,0.029088,0.873144,0.024501,0.014545,0.013848,0.009894,0.35212,0.209051,636280.0546,636280.0546,13.69912055,9.434340424
411,Edwards Plateau limestone savanna and woodland,0.026717,0.017238,0.031518,0.020343,0.27601,0.177527,0.007623,0.177527,0.004601,0.002958,0.003253,0.00211,0.066199,0.042601,172992.3215,172992.3215,3.05024654,1.995391684
412,Acadian - Appalachian alpine and subalpine woodlands and barrens,0.074465,0.034715,0.087859,0.040964,0.864924,0.371401,0.011657,0.371401,0.014203,0.006161,0.006454,0.003884,0.20402,0.088618,242737.525,242737.525,4.198812259,3.393835667
413,Northern oak barren woodland and grassland,0.067075,0.032196,0.079148,0.037999,0.72506,0.355331,0.015918,0.355331,0.012015,0.005874,0.007289,0.003304,0.172744,0.08441,350838.8475,350838.8475,6.060853092,2.550769298
414,Nashville Basin limestone glade and woodland,0.0393,0.019217,0.046382,0.022671,0.411865,0.198742,0.010631,0.198742,0.006851,0.003312,0.004621,0.002328,0.098574,0.047655,239816.5366,239816.5366,4.341673013,2.279175219
415,Cumberland sandstone glade and barrens,0.009559,0.005796,0.011285,0.006835,0.104411,0.058883,0.002151,0.058883,0.00173,0.000984,0.001011,0.000731,0.024842,0.014156,47582.00664,47582.00664,,
416,Calcareous glade and woodland,0.025034,0.008707,0.029529,0.010271,0.281896,0.091776,0.004791,0.091776,0.004645,0.001525,0.002399,0.001005,0.066778,0.021946,103383.2949,103383.2949,1.755035239,0.931909205
417,West Gulf Coastal Plain glade and barrens,0.007778,0.003152,0.009172,0.003716,0.087979,0.032006,0.001444,0.032006,0.001432,0.000538,0.000737,0.000398,0.020827,0.00769,31072.28229,31072.28229,0.674196101,0.491541401
418,Great Lakes alvar savanna and shrubland,0.019397,0.006931,0.022878,0.008175,0.224651,0.074036,0.003097,0.074036,0.003682,0.001231,0.001698,0.000776,0.053011,0.017673,64834.12056,64834.12056,1.527955793,0.694176578
419,Llano Uplift acidic woodland and glade,0.029636,0.016683,0.034973,0.019685,0.315133,0.173037,0.007557,0.173037,0.005226,0.002885,0.003356,0.002014,0.075255,0.041473,169283.8131,169283.8131,3.024155783,1.926643687
420,Great Lakes wet-mesic lakeplain prairie grassland,0.054111,0.012398,0.063849,0.01463,0.647712,0.12615,0.006556,0.12615,0.010582,0.002107,0.004169,0.001559,0.152177,0.030324,130030.9847,130030.9847,,
421,Bluegrass savanna and woodland,0.068379,0.024929,0.080694,0.02942,0.706144,0.256806,0.019546,0.256806,0.011779,0.004289,0.008337,0.003057,0.169368,0.061618,443774.6473,443774.6473,8.280114158,3.315493351
422,Arkansas Valley prairie and woodland,0.05705,0.008605,0.067322,0.01016,0.678327,0.087652,0.00737,0.087652,0.01109,0.001463,0.004522,0.001085,0.159508,0.021065,148288.7043,148288.7043,2.681660378,1.534497788
423,Highland Rim prairie and barrens,0.057809,0.008605,0.068204,0.01016,0.686051,0.087652,0.007591,0.087652,0.011222,0.001463,0.00461,0.001085,0.161362,0.021065,153276.4827,153276.4827,2.870584066,1.494446134
424,Southern Coastal Plain nonriverine cypress dome forest,0.170763,0.089793,0.201499,0.105946,1.969155,1.057224,0.028196,1.057224,0.032347,0.017312,0.015203,0.007392,0.464956,0.248929,588192.7721,588192.7721,9.330372501,3.823330919
425,Coastal Plain seepage swamp and baygall forest,0.19229,0.074614,0.22689,0.088044,2.031188,0.803237,0.050408,0.803237,0.033781,0.013315,0.0222,0.008207,0.48556,0.191487,1126084.724,1126084.724,19.7345206,6.911715821
426,Tamaulipan riparian forest,0.067715,0.022724,0.07991,0.026813,0.719787,0.255377,0.017303,0.255377,0.011952,0.004214,0.007702,0.002202,0.171905,0.06051,384597.5733,384597.5733,6.730166839,1.572692683
427,Laurentian - Acadian alkaline swamp forest,0.887012,0.66663,1.046667,0.786626,10.948036,8.235311,0.074283,8.235311,0.178225,0.134056,0.059305,0.044376,2.562007,1.926973,1024112.788,1024112.788,12.78911814,9.247047417
428,Melaleuca quinquenervia forest,0.180076,0.028532,0.212496,0.033675,2.057083,0.333095,0.031679,0.333095,0.033827,0.005462,0.016561,0.002432,0.486334,0.078513,672869.9961,672869.9961,12.52970344,2.577495938
429,Introduced upland vegetation - Treed,0.12279,0.052221,0.144894,0.061618,1.320548,0.583586,0.029834,0.583586,0.021908,0.009629,0.013536,0.00516,0.314861,0.138384,658327.6766,658327.6766,11.43571722,3.774204921
430,Mississippi River alluvial plain loess slope forest,0.189463,0.088821,0.223566,0.104809,2.131737,1.006772,0.036589,1.006772,0.035127,0.016574,0.018317,0.008391,0.505035,0.238279,779549.1303,779549.1303,13.53064322,5.435540407
431,East Gulf Coastal Plain limestone forest,0.167914,0.070836,0.19813,0.083583,1.872927,0.787598,0.034066,0.787598,0.030908,0.013003,0.016683,0.007107,0.444256,0.186902,734931.9897,734931.9897,13.11014168,5.413718142
432,South Florida hardwood hammock forest,0.142402,0.077076,0.16803,0.090942,1.628323,0.8666,0.024892,0.8666,0.026776,0.014287,0.013052,0.007468,0.384925,0.205325,521811.1424,521811.1424,8.272101891,4.355495661
433,Atlantic Coastal Plain maritime grassland and woodland,0.030242,0.023667,0.035692,0.027922,0.321706,0.246638,0.007698,0.246638,0.005346,0.004111,0.003431,0.002818,0.076822,0.059075,172347.8773,172347.8773,3.065887459,2.69061925
434,Mississippi River dune woodland and forest,0.059927,0.024907,0.070713,0.029391,0.651136,0.269968,0.013886,0.269968,0.010777,0.004471,0.006413,0.002693,0.155015,0.064297,306289.0393,306289.0393,5.343813435,2.03648817
435,Tamaulipan clay grassland,0.009537,0.0062,0.011258,0.007312,0.104472,0.062994,0.002126,0.062994,0.001718,0.001055,0.00099,0.000786,0.024848,0.015145,46821.32445,46821.32445,0.957719713,0.869433229
436,South Texas sand sheet grassland,0.012211,0.012219,0.014406,0.014417,0.124101,0.124106,0.003698,0.124106,0.002075,0.002077,0.001538,0.001544,0.02984,0.029839,84433.45149,84433.45149,1.497751,1.497751
437,South Texas dune and coastal grassland,0.012211,0.012219,0.014406,0.014417,0.124101,0.124106,0.003698,0.124106,0.002075,0.002077,0.001538,0.001544,0.02984,0.029839,84433.45149,84433.45149,1.497751,1.497751
438,South Florida cypress dome forest,1.568337,1.541785,1.850629,1.819297,19.511384,19.235284,0.115913,19.235284,0.317315,0.312709,0.100669,0.097479,4.561376,4.495218,1947885.4,1947885.4,7.713420903,4.560578159
439,Carolina bay savanna,0.032569,0.016996,0.038428,0.020055,0.365699,0.176209,0.006357,0.176209,0.006039,0.002937,0.003169,0.002052,0.086653,0.042242,137404.7828,137404.7828,2.503719561,2.022349048
440,Caribbean swamp forest,0.182996,0.098457,0.215935,0.116176,2.150364,1.189859,0.026178,1.189859,0.035234,0.019427,0.015196,0.007273,0.506464,0.279201,529148.6689,529148.6689,8.00673091,2.675926159
441,Central Interior and Appalachian swamp forest,0.217043,0.089003,0.256118,0.105019,2.642445,1.049753,0.021835,1.049753,0.043095,0.017189,0.01552,0.007284,0.619462,0.247114,408821.1895,408821.1895,6.617080612,5.146802548
442,Great Plains prairie pothole grassland,0.098357,0.016786,0.11606,0.019803,1.194015,0.170975,0.010241,0.170975,0.019485,0.002858,0.007122,0.002114,0.280008,0.041093,169215.0891,169215.0891,2.410163088,2.035851382
443,Eastern Great Plains marsh grassland,0.100901,0.017414,0.119056,0.020556,1.236202,0.192323,0.009359,0.192323,0.020141,0.003175,0.006997,0.001784,0.289568,0.04568,175224.8084,175224.8084,2.410163088,2.035851382
445,Central Interior and Appalachian wetland grassland,0.322965,0.127021,0.381094,0.149886,4.011667,1.561546,0.024498,1.561546,0.065251,0.02543,0.0209,0.008661,0.938029,0.365613,431914.9113,431914.9113,3.01542623,3.01542623
448,Atlantic Coastal Plain nonriverine swamp forest,0.258544,0.159942,0.305073,0.188734,2.900483,1.776119,0.050794,1.776119,0.047832,0.029328,0.025222,0.016104,0.68745,0.421555,1071171.956,1071171.956,18.13263347,12.12022111
449,North-central Interior wet flatwoods forest,0.21868,0.071429,0.258043,0.084289,2.515207,0.830715,0.036745,0.830715,0.041329,0.013624,0.019652,0.006166,0.594095,0.195923,768383.2312,768383.2312,13.95955996,4.075950491
450,Edwards Plateau slope forest and woodland,0.067086,0.024218,0.079152,0.028573,0.723123,0.257133,0.016117,0.257133,0.011982,0.004269,0.007335,0.002754,0.172352,0.061423,357198.2447,357198.2447,6.16166558,2.419592425
451,Edwards Plateau mesic canyon forest,0.103111,0.038312,0.121668,0.045209,1.175244,0.423252,0.018406,0.423252,0.01933,0.006996,0.009551,0.003915,0.277942,0.100535,390087.9751,390087.9751,,
453,Ruderal upland - Old field grassland,0.030655,0.025145,0.036166,0.029674,0.313054,0.256538,0.009114,0.256538,0.005225,0.004286,0.003835,0.00315,0.075205,0.061644,207743.2774,207743.2774,3.675642476,3.031842455
454,Ruderal forest - Northern and Central hardwood and conifer,0.160833,0.078408,0.189791,0.092519,1.763405,0.895374,0.035711,0.895374,0.029178,0.01473,0.016808,0.007218,0.419293,0.21169,771383.6671,771383.6671,13.31195151,4.719108221
455,Managed tree plantation - Northern and Central ,0.241369,0.114624,0.284815,0.135257,2.836664,1.373633,0.034495,1.373633,0.046479,0.022449,0.020031,0.008787,0.668082,0.322682,668635.7362,668635.7362,10.54195783,3.691887173
456,Introduced wetland vegetation - Tree,0.151836,0.083198,0.179148,0.098177,1.7297,0.934965,0.027183,0.934965,0.028457,0.015416,0.014089,0.008073,0.409089,0.221544,572724.1614,572724.1614,7.775622496,3.542397297
457,South Florida coastal strand and maritime hammock forest,0.615706,0.401061,0.726529,0.473256,7.46125,4.836357,0.065423,4.836357,0.121756,0.078964,0.044948,0.029927,1.750187,1.13518,1240364.74,1240364.74,11.22735579,7.398044264
458,South Texas lomas shrubland,0.10719,0.10718,0.126492,0.126474,1.090605,1.090423,0.032283,1.090423,0.018236,0.018236,0.01352,0.013515,0.26217,0.26212,737141.7203,737141.7203,13.04203575,13.04150726
900,Water,0.280515,0.20167,0.331,0.237963,3.163535,2.316856,0.053453,2.316856,0.052125,0.038071,0.026915,0.018192,0.749246,0.54733,1136815.013,1136815.013,18.85471957,11.44738059
